English,Japanese
user,ユーザー
usual,通常の
usually,通常は
utility,公共サービス
utilize,利用する
utmost,最大の
utter,完全な
utterly,完全に
vacant,空いている
vacation,休暇
vague,曖昧な
valid,有効な
valley,谷
valuable,貴重な
value,価値
vanish,消える
variety,多様性
various,様々な
vary,異なる
vast,広大な
vegetable,野菜
vehicle,車両
venture,冒険
verb,動詞
verify,検証する
version,バージョン
vertical,垂直の
very,非常に
vessel,船
veteran,ベテラン
via,～を経由して
vibrate,振動する
victim,犠牲者
victory,勝利
view,景色
village,村
violate,違反する
violence,暴力
virtual,仮想の
virtue,美徳
visible,見える
vision,視力
visit,訪れる
visitor,訪問者
visual,視覚の
vital,重要な
vivid,鮮やかな
vocal,声の
voice,声
volcano,火山
volume,音量
voluntary,自発的な
volunteer,ボランティア
vote,投票する
vowel,母音
voyage,航海
vulgar,下品な
vulnerable,脆弱な
venture,ベンチャー
velocity,速度
venom,毒
versatile,多才な
vest,ベスト
vicarious,代理の
vindicate,正当化する
vintage,ビンテージ
viper,毒蛇
viral,ウイルス性の
virus,ウイルス
visa,ビザ
visualize,視覚化する
voltage,電圧
vortex,渦
vow,誓う
voyeur,覗き魔
vulture,ハゲタカ
vulnerable,弱い
vaccinate,予防接種をする
validity,有効性
vanguard,先駆者
vanquish,打ち負かす
vapor,蒸気
variability,変動性
variance,分散
variant,変異種
variegate,変化をつける
vastness,広大さ
vegetation,植生
vehicular,車両の
veracity,真実性
verdict,評決
verification,検証
veritable,本当の
vermin,害虫
versification,韻律
vertigo,めまい
vestige,痕跡
wage,賃金
wagon,ワゴン
waist,腰
wait,待つ
wake,目覚める
walk,歩く
wall,壁
wander,さまよう
want,欲しい
war,戦争
warm,暖かい
warn,警告する
wash,洗う
waste,浪費する
watch,見る
water,水
wave,波
wax,ワックス
way,道
weak,弱い
wealth,富
weapon,武器
wear,着る
weary,疲れた
weather,天気
weave,織る
web,ウェブ
wedding,結婚式
week,週
weekend,週末
weigh,重さを測る
weight,重さ
weird,奇妙な
welcome,歓迎する
welfare,福祉
well,良く
west,西
western,西洋の
wet,濡れた
whale,クジラ
what,何
wheat,小麦
wheel,車輪
when,いつ
where,どこ
which,どちら
while,～の間
whisper,ささやく
whistle,口笛
white,白い
who,誰
whole,全体の
whom,誰を
whose,誰の
why,なぜ
wide,広い
widen,広げる
widespread,広範な
widow,未亡人
width,幅
wife,妻
wild,野生の
will,意思
willing,意欲的な
win,勝つ
wind,風
window,窓
wine,ワイン
wing,翼
winter,冬
wipe,拭く
wire,ワイヤー
wisdom,知恵
wise,賢い
wish,願う
wit,機知
withdraw,撤退する
within,～以内に
without,～なしで
witness,目撃者
wolf,オオカミ
woman,女性
wonder,驚く
wood,木材
wool,ウール
word,言葉
work,働く
world,世界
worry,心配する
worship,崇拝する
worth,価値
worthy,価値のある
wound,傷
wrap,包む
wreck,難破
wrestle,レスリングする
x-ray,レントゲン
xenon,キセノン
xerox,ゼロックス
xylophone,木琴
x-axis,x軸
xenophobia,外国人嫌い
xenial,友好的な
xeric,乾燥地の
xylene,キシレン
xylotomy,木材解剖
xiphoid,剣状の
xylograph,木版画
xenogenesis,異種発生
xerophyte,乾生植物
xenocryst,捕獲結晶
xanthophyll,キサントフィル
xenotransplant,異種移植
xenobiotic,異物質
xanthoma,黄色腫
xerothermic,乾燥高温の
xenograft,異種移植片
xenon-arc,キセノンアーク
xylophagous,木食性の
xenolith,捕獲岩
xenotropic,異栄養の
xanthate,キサント酸塩
xenogamy,異花受粉
xeroderma,乾皮症
xanthosis,黄変症
xerophyte,乾性植物
xiphoid process,剣状突起
xenon lamp,キセノンランプ
xerox copy,ゼロックスコピー
xylophilous,木好きの
xenobiotic,異物質の
xylophonic,木琴の
xenogenesis,異種発生の
xanthate,キサント酸の
xenodochy,異邦人好意
xeroderma pigmentosum,色素性乾皮症
xanthophyll cycle,キサントフィルサイクル
xenophobic,外国人嫌いの
xeriscape,乾燥地景観
xanthic,黄色の
xiphisternum,剣状胸骨
xylidine,キシリジン
xenobiotic metabolism,異物質代謝
xerothermic adaptation,乾燥高温適応
xenogeneic transplant,異種移植
xylitol,キシリトール
xiphoid cartilage,剣状軟骨
xerophthalmia,乾眼症
xenophobic attacks,外国人嫌い攻撃
xeric habitats,乾燥生息地
xylophonic sound,木琴の音
xerothermic conditions,乾燥高温条件
xenon gas,キセノンガス
xerox machine,ゼロックス機
xiphoid pain,剣状突起の痛み
xylophonist,木琴奏者
xenobiotic resistance,異物質抵抗性
xylosma,クロモジ属
xenogenic factors,異種因子
xenogenetic,異種遺伝の
xerophyte species,乾燥性植物種
xenobiotic response,異物質応答
xylophagous insects,木食性昆虫
xenodiagnosis,異種診断
xerographic printing,ゼログラフィック印刷
xenopus,ツメガエル属
xanthochromia,黄変症
xenobiotic transporter,異物質輸送体
xylophage,木食動物
xeroderma care,乾皮症ケア
x-ray diffraction,X線回折
xenon anesthesia,キセノン麻酔
xenotransplantation,異種移植
xylotomy sections,木材切片
yard,庭
yawn,あくび
year,年
yearn,憧れる
yell,叫ぶ
yellow,黄色
yes,はい
yesterday,昨日
yet,まだ
yield,産出する
yoga,ヨガ
yogurt,ヨーグルト
young,若い
youth,若者
yummy,おいしい
yearly,毎年の
yacht,ヨット
yonder,向こうに
yuletide,クリスマス
yeast,酵母
yeti,イエティ
yolk,卵黄
yowl,うめき声
yearbook,年鑑
youthful,若々しい
yodel,ヨーデル
yoke,軛
yip,甲高い声
yucca,ユッカ
yearning,憧れ
yellowish,黄色がかった
yachtsman,ヨットマン
yeoman,自作農
yawnful,退屈な
yachter,ヨット愛好者
yarning,物語
yeastlike,酵母のような
yellowfin,キハダマグロ
yobbish,乱暴な
yippee,やった
yogic,ヨガの
yogini,ヨガの女性修行者
yonks,長い間
yout,若者
yucky,不快な
youthquake,若者による変革
yesteryear,過ぎ去った時代
yabby,淡水ザリガニ
yellowtail,ブリ
yob,乱暴者
yachtswoman,ヨット乗りの女性
yohimbe,ヨヒンベ
yonderly,遠く離れた
youthfully,若々しく
yokel,田舎者
yellowback,安価なペーパーバック本
youthfulness,若々しさ
yaws,熱帯性潰瘍病
yowie,イエティに似た伝説の生物
yammer,喋りまくる
yabber,おしゃべり
yabbering,おしゃべりする
yawp,甲高い声で叫ぶ
yump,ジャンプする
yaw,偏向する
yodelling,ヨーデルを歌う
yachtsmanship,ヨット技術
yogin,ヨガ修行者
yardage,ヤードで測った長さ
yaupon,チャボトウジャ
yellowwood,黄色い木材
yashmak,顔を覆うベール
yawping,騒がしい
yawningly,退屈そうに
yammering,喋りまくる
youngling,若者
yoginī,ヨガ修行者の女性
yowling,うめき声
yardarm,マストの横材
yellowtop,黄色い花の植物
yaguarundi,ヤグアロンディ
yowie-sighting,イエティ目撃
yarraman,馬（オーストラリア先住民語）
zebra,シマウマ
zero,ゼロ
zinc,亜鉛
zip,ジッパー
zone,ゾーン
zoo,動物園
zoology,動物学
zoom,ズーム
zeal,熱意
zealous,熱心な
zenith,天頂
zephyr,そよ風
zest,熱意
zigzag,ジグザグ
zonal,地帯の
zookeeper,飼育員
zoologist,動物学者
zucchini,ズッキーニ
zygote,接合子
zany,滑稽な
zeolite,ゼオライト
zincate,亜鉛酸塩
zither,ツィター
zodiac,黄道帯
zombi,ゾンビ
zonation,帯状配列
zoster,帯状疱疹
zooid,動物体
zootomy,動物解剖学
zymase,発酵酵素
zymogen,酵素原
zymology,発酵学
zymurgy,発酵化学
zoophilia,動物愛好
zooplankton,動物プランクトン
zygomorphic,左右相称の
zoolatry,動物崇拝
zoonosis,動物由来感染症
zootheism,動物神信仰
zephyrous,そよ風の
zeolite crystal,ゼオライト結晶
zooplankter,動物プランクトン
zwitterion,双性イオン
zincograph,亜鉛版画
zooarchaeology,動物考古学
zoochemistry,動物化学
zoomorphism,動物形態論
zygosity,接合性
zooanthropy,動物変身妄想
zoophobia,動物恐怖症
zonked,疲れ果てた
zappy,活気のある
zincography,亜鉛版印刷
zoophagous,食動物性の
zoopraxiscope,動物映写機
zymogenetic,酵素原の
zoopharmacognosy,動物薬草学
zinciferous,亜鉛を含む
zoophysics,動物物理学
zoolith,動物化石
zoonotic,動物由来の
zeolitic,ゼオライトの
zygodactyl,対趾足の
zoophagous diet,食動物性の食事
zoographic,動物描写の
zebrawood,ゼブラウッド
zoological,動物学の
zymoplastic,酵素形成性の
zootomy lectures,動物解剖学講義
zombification,ゾンビ化
zealot,狂信者
zesty,ピリッとした
zibeline,ゼーブル
zeaxanthin,ゼアキサンチン
ziggurat,ジッグラト
zinc oxide,酸化亜鉛
zoosporangium,動物胞子嚢
zoological park,動物園
zygodactyly,対趾性
zoogeography,動物地理学
zygotic stage,接合子段階
zoonotic diseases,動物由来の病気
